method,ARI,NMI,VI,Bcubed_P,Bcubed_R,Bcubed_F,Homogeneity,Completeness,Vmeasure,PairF_P,PairF_R,PairF_F
hclust_avg,0.0534,0.5165,5.8386,0.1835,0.5296,0.2725,0.4038,0.7162,0.5165,0.0349,0.4664,0.065
hclust_ward,0.0419,0.5158,5.8923,0.1854,0.5191,0.2732,0.4065,0.7056,0.5158,0.0287,0.411,0.0537
pam,0.0534,0.5165,5.8386,0.1835,0.5296,0.2725,0.4038,0.7162,0.5165,0.0349,0.4664,0.065
threshold_cc,0.0755,0.6881,4.2426,0.3946,0.5504,0.4597,0.606,0.7958,0.6881,0.0477,0.4675,0.0865
louvain,0.0755,0.688,4.2435,0.3942,0.5504,0.4594,0.6059,0.7957,0.688,0.0477,0.4675,0.0865
leiden,0,0.8186,3.421,1,0.146,0.2548,1,0.693,0.8186,0,0,0
label_prop,0.0755,0.688,4.2435,0.3942,0.5504,0.4594,0.6059,0.7957,0.688,0.0477,0.4675,0.0865
gc,0,0,7.7211,0.007,1,0.0139,0,1,0,0.0066,1,0.0131
svm,0.0347,0.8182,3.3974,0.9771,0.1588,0.2733,0.9902,0.6971,0.8182,0.2651,0.0191,0.0356
final,0.0755,0.6881,4.2426,0.3946,0.5504,0.4597,0.606,0.7958,0.6881,0.0477,0.4675,0.0865
