method,ARI,NMI,VI,Bcubed_P,Bcubed_R,Bcubed_F,Homogeneity,Completeness,Vmeasure,PairF_P,PairF_R,PairF_F
hclust_avg,0.7462,0.8546,1.5448,0.6511,0.8493,0.7371,0.8042,0.9118,0.8546,0.7117,0.808,0.7568
hclust_ward,0.5243,0.8268,1.8774,0.6613,0.7475,0.7018,0.794,0.8625,0.8268,0.5808,0.5075,0.5417
pam,0.6239,0.8405,1.7156,0.6392,0.7836,0.7041,0.8006,0.8845,0.8405,0.6514,0.6258,0.6383
threshold_cc,0.5058,0.8114,1.9227,0.5201,0.8577,0.6476,0.7328,0.9089,0.8114,0.3941,0.8182,0.532
louvain,0.5058,0.8114,1.9227,0.5201,0.8577,0.6476,0.7328,0.9089,0.8114,0.3941,0.8182,0.532
leiden,0,0.6855,5.1806,1,0.065,0.1221,1,0.5215,0.6855,0,0,0
label_prop,0.5058,0.8114,1.9227,0.5201,0.8577,0.6476,0.7328,0.9089,0.8114,0.3941,0.8182,0.532
gc,0,0,5.6451,0.0398,1,0.0765,0,1,0,0.0392,1,0.0755
svm,0.5429,0.8491,1.6239,0.6297,0.8172,0.7113,0.8092,0.8931,0.8491,0.4371,0.8034,0.5661
final,0.7462,0.8546,1.5448,0.6511,0.8493,0.7371,0.8042,0.9118,0.8546,0.7117,0.808,0.7568
