method,ARI,NMI,VI,Bcubed_P,Bcubed_R,Bcubed_F,Homogeneity,Completeness,Vmeasure,PairF_P,PairF_R,PairF_F
hclust_avg,0.2759,0.7133,1.3147,0.5374,0.9286,0.6808,0.5826,0.9197,0.7133,0.2308,0.8571,0.3636
hclust_ward,0.0683,0.5417,1.9442,0.4286,0.8571,0.5714,0.4092,0.8008,0.5417,0.1111,0.7143,0.1923
pam,0.1577,0.6715,1.6005,0.5374,0.7857,0.6383,0.5826,0.7924,0.6715,0.1667,0.5714,0.2581
threshold_cc,0.9172,0.9752,0.1429,1,0.9286,0.963,1,0.9516,0.9752,1,0.8571,0.9231
louvain,0.9172,0.9752,0.1429,1,0.9286,0.963,1,0.9516,0.9752,1,0.8571,0.9231
leiden,0,0.8488,1,1,0.5,0.6667,1,0.73740000000000006,0.8488,0,0,0
label_prop,0.9172,0.9752,0.1429,1,0.9286,0.963,1,0.9516,0.9752,1,0.8571,0.9231
gc,0,0,2.8074,0.1429,1,0.25,0,1,0,0.0769,1,0.1429
svm,0.9172,0.9752,0.1429,1,0.9286,0.963,1,0.9516,0.9752,1,0.8571,0.9231
final,0.9172,0.9752,0.1429,1,0.9286,0.963,1,0.9516,0.9752,1,0.8571,0.9231
