id,cluster_id
rec-0-dup-0,0
rec-0-org,0
rec-1-dup-0,1
rec-1-org,1
rec-2-dup-0,2
rec-2-org,2
rec-3-dup-0,3
rec-3-org,3
rec-4-dup-0,4
rec-4-org,4
rec-5-dup-0,5
rec-5-org,5
rec-6-dup-0,6
rec-6-org,6
rec-7-dup-0,7
rec-7-org,7
rec-8-dup-0,8
rec-8-org,8
rec-9-dup-0,9
rec-9-org,9
rec-10-dup-0,10
rec-10-org,10
rec-11-dup-0,11
rec-11-org,11
rec-12-dup-0,12
rec-12-org,12
rec-13-dup-0,13
rec-13-org,13
rec-14-dup-0,14
rec-14-org,14
rec-15-dup-0,15
rec-15-org,15
rec-16-dup-0,16
rec-16-org,16
rec-17-dup-0,17
rec-17-org,17
rec-18-dup-0,18
rec-18-org,18
rec-19-dup-0,19
rec-19-org,19
rec-20-dup-0,20
rec-20-org,20
rec-21-dup-0,21
rec-21-org,21
rec-22-dup-0,22
rec-22-org,22
rec-23-dup-0,23
rec-23-org,23
rec-24-dup-0,24
rec-24-org,24
rec-25-dup-0,25
rec-25-org,25
rec-26-dup-0,26
rec-26-org,26
rec-27-dup-0,27
rec-27-org,27
rec-28-dup-0,28
rec-28-org,28
rec-29-dup-0,29
rec-29-org,29
rec-30-dup-0,30
rec-30-org,30
rec-31-dup-0,31
rec-31-org,31
rec-32-dup-0,32
rec-32-org,32
rec-33-dup-0,33
rec-33-org,33
rec-34-dup-0,34
rec-34-org,34
rec-35-dup-0,35
rec-35-org,35
rec-36-dup-0,36
rec-36-org,36
rec-37-dup-0,37
rec-37-org,37
rec-38-dup-0,38
rec-38-org,38
rec-39-dup-0,39
rec-39-org,39
rec-40-dup-0,40
rec-40-org,40
rec-41-dup-0,41
rec-41-org,41
rec-42-dup-0,42
rec-42-org,42
rec-43-dup-0,43
rec-43-org,43
rec-44-dup-0,44
rec-44-org,44
rec-45-dup-0,45
rec-45-org,45
rec-46-dup-0,46
rec-46-org,46
rec-47-dup-0,47
rec-47-org,47
rec-48-dup-0,48
rec-48-org,48
rec-49-dup-0,49
rec-49-org,49
rec-50-dup-0,50
rec-50-org,50
rec-51-dup-0,51
rec-51-org,51
rec-52-dup-0,52
rec-52-org,52
rec-53-dup-0,53
rec-53-org,53
rec-54-dup-0,54
rec-54-org,54
rec-55-dup-0,55
rec-55-org,55
rec-56-dup-0,56
rec-56-org,56
rec-57-dup-0,57
rec-57-org,57
rec-58-dup-0,58
rec-58-org,58
rec-59-dup-0,59
rec-59-org,59
rec-60-dup-0,60
rec-60-org,60
rec-61-dup-0,61
rec-61-org,61
rec-62-dup-0,62
rec-62-org,62
rec-63-dup-0,63
rec-63-org,63
rec-64-dup-0,64
rec-64-org,64
rec-65-dup-0,65
rec-65-org,65
rec-66-dup-0,66
rec-66-org,66
rec-67-dup-0,67
rec-67-org,67
rec-68-dup-0,68
rec-68-org,68
rec-69-dup-0,69
rec-69-org,69
rec-70-dup-0,70
rec-70-org,70
rec-71-dup-0,71
rec-71-org,71
rec-72-dup-0,72
rec-72-org,72
rec-73-dup-0,73
rec-73-org,73
rec-74-dup-0,74
rec-74-org,74
rec-75-dup-0,75
rec-75-org,75
rec-76-dup-0,76
rec-76-org,76
rec-77-dup-0,77
rec-77-org,77
rec-78-dup-0,78
rec-78-org,78
rec-79-dup-0,79
rec-79-org,79
rec-80-dup-0,80
rec-80-org,80
rec-81-dup-0,81
rec-81-org,81
rec-82-dup-0,82
rec-82-org,82
rec-83-dup-0,83
rec-83-org,83
rec-84-dup-0,84
rec-84-org,84
rec-85-dup-0,85
rec-85-org,85
rec-86-dup-0,86
rec-86-org,86
rec-87-dup-0,87
rec-87-org,87
rec-88-dup-0,88
rec-88-org,88
rec-89-dup-0,89
rec-89-org,89
rec-90-dup-0,90
rec-90-org,90
rec-91-dup-0,91
rec-91-org,91
rec-92-dup-0,92
rec-92-org,92
rec-93-dup-0,93
rec-93-org,93
rec-94-dup-0,94
rec-94-org,94
rec-95-dup-0,95
rec-95-org,95
rec-96-dup-0,96
rec-96-org,96
rec-97-dup-0,97
rec-97-org,97
rec-98-dup-0,98
rec-98-org,98
rec-99-dup-0,99
rec-99-org,99
rec-100-dup-0,100
rec-100-org,100
rec-101-dup-0,101
rec-101-org,101
rec-102-dup-0,102
rec-102-org,102
rec-103-dup-0,103
rec-103-org,103
rec-104-dup-0,104
rec-104-org,104
rec-105-dup-0,105
rec-105-org,105
rec-106-dup-0,106
