id1;id2
rec-344-dup-0;rec-344-org
rec-251-org;rec-251-dup-0
rec-335-dup-0;rec-335-org
rec-23-dup-0;rec-23-org
rec-382-org;rec-382-dup-0
rec-70-dup-0;rec-70-org
rec-291-org;rec-291-dup-0
rec-179-org;rec-179-dup-0
rec-452-dup-0;rec-452-org
rec-383-org;rec-383-dup-0
rec-254-org;rec-254-dup-0
rec-480-org;rec-480-dup-0
rec-381-org;rec-381-dup-0
rec-418-org;rec-418-dup-0
rec-484-dup-0;rec-484-org
rec-149-dup-0;rec-149-org
rec-190-org;rec-190-dup-0
rec-167-dup-0;rec-167-org
rec-333-org;rec-333-dup-0
rec-316-org;rec-316-dup-0
rec-69-dup-0;rec-69-org
rec-323-org;rec-323-dup-0
rec-77-dup-0;rec-77-org
rec-162-org;rec-162-dup-0
rec-232-dup-0;rec-232-org
rec-224-org;rec-224-dup-0
rec-457-dup-0;rec-457-org
rec-68-dup-0;rec-68-org
rec-108-org;rec-108-dup-0
rec-95-org;rec-95-dup-0
rec-351-org;rec-351-dup-0
rec-417-dup-0;rec-417-org
rec-305-org;rec-305-dup-0
rec-94-dup-0;rec-94-org
rec-304-dup-0;rec-304-org
rec-263-dup-0;rec-263-org
rec-336-dup-0;rec-336-org
rec-17-dup-0;rec-17-org
rec-143-org;rec-143-dup-0
rec-196-dup-0;rec-196-org
rec-471-dup-0;rec-471-org
rec-395-dup-0;rec-395-org
rec-136-org;rec-136-dup-0
rec-172-dup-0;rec-172-org
rec-19-org;rec-19-dup-0
rec-276-dup-0;rec-276-org
rec-91-org;rec-91-dup-0
rec-464-org;rec-464-dup-0
rec-105-org;rec-105-dup-0
rec-10-org;rec-10-dup-0
rec-338-dup-0;rec-338-org
rec-490-org;rec-490-dup-0
rec-141-org;rec-141-dup-0
rec-270-dup-0;rec-270-org
rec-198-dup-0;rec-198-org
rec-283-dup-0;rec-283-org
rec-56-org;rec-56-dup-0
rec-199-org;rec-199-dup-0
rec-33-dup-0;rec-33-org
rec-26-org;rec-26-dup-0
rec-122-dup-0;rec-122-org
rec-245-dup-0;rec-245-org
rec-227-dup-0;rec-227-org
rec-286-dup-0;rec-286-org
rec-488-org;rec-488-dup-0
rec-439-dup-0;rec-439-org
rec-156-org;rec-156-dup-0
rec-384-dup-0;rec-384-org
rec-370-org;rec-370-dup-0
rec-22-dup-0;rec-22-org
rec-373-dup-0;rec-373-org
rec-403-dup-0;rec-403-org
rec-244-dup-0;rec-244-org
rec-200-dup-0;rec-200-org
rec-284-org;rec-284-dup-0
rec-292-dup-0;rec-292-org
rec-45-org;rec-45-dup-0
rec-438-org;rec-438-dup-0
rec-294-dup-0;rec-294-org
rec-197-dup-0;rec-197-org
rec-183-org;rec-183-dup-0
rec-155-dup-0;rec-155-org
rec-210-dup-0;rec-210-org
rec-3-org;rec-3-dup-0
rec-82-org;rec-82-dup-0
rec-135-org;rec-135-dup-0
rec-478-dup-0;rec-478-org
rec-235-org;rec-235-dup-0
rec-258-org;rec-258-dup-0
rec-177-org;rec-177-dup-0
rec-278-org;rec-278-dup-0
rec-15-org;rec-15-dup-0
rec-18-dup-0;rec-18-org
rec-204-dup-0;rec-204-org
rec-361-dup-0;rec-361-org
rec-85-org;rec-85-dup-0
rec-230-org;rec-230-dup-0
rec-257-org;rec-257-dup-0
rec-58-dup-0;rec-58-org
rec-481-org;rec-481-dup-0
rec-455-dup-0;rec-455-org
rec-485-org;rec-485-dup-0
rec-331-dup-0;rec-331-org
rec-114-dup-0;rec-114-org
rec-312-dup-0;rec-312-org
rec-89-org;rec-89-dup-0
rec-216-org;rec-216-dup-0
rec-467-org;rec-467-dup-0
rec-152-dup-0;rec-152-org
rec-229-org;rec-229-dup-0
rec-21-dup-0;rec-21-org
rec-115-org;rec-115-dup-0
rec-194-dup-0;rec-194-org
rec-27-dup-0;rec-27-org
rec-187-dup-0;rec-187-org
rec-168-org;rec-168-dup-0
rec-324-dup-0;rec-324-org
rec-479-org;rec-479-dup-0
rec-223-dup-0;rec-223-org
rec-332-dup-0;rec-332-org
rec-451-org;rec-451-dup-0
rec-79-org;rec-79-dup-0
rec-209-org;rec-209-dup-0
rec-458-org;rec-458-dup-0
rec-360-dup-0;rec-360-org
rec-432-org;rec-432-dup-0
rec-71-org;rec-71-dup-0
rec-151-dup-0;rec-151-org
rec-482-dup-0;rec-482-org
rec-228-org;rec-228-dup-0
rec-486-org;rec-486-dup-0
rec-150-dup-0;rec-150-org
rec-378-org;rec-378-dup-0
rec-54-org;rec-54-dup-0
rec-387-dup-0;rec-387-org
rec-218-dup-0;rec-218-org
rec-339-dup-0;rec-339-org
rec-98-org;rec-98-dup-0
rec-61-dup-0;rec-61-org
rec-497-dup-0;rec-497-org
rec-250-org;rec-250-dup-0
