Entity1|Entity2
101|8933
4101|4614
7213|8466
4856|7485
4829|9725
1289|8634
3059|9179
6802|9806
6218|9126
5849|6986
3119|4205
1884|8409
5663|6060
9371|9596
8195|8902
1295|8153
4301|4419
5059|7040
2498|6623
2734|3420
3670|7648
358|4020
3064|8794
772|2425
389|1449
7025|7724
1689|8239
557|3895
1554|3063
3699|5250
2924|4049
5656|6673
8975|9725
3875|7035
2704|5934
4040|9733
895|8626
3317|4217
1328|5463
184|2109
96|9418
781|1715
4486|5499
3252|9615
4858|7396
2129|4535
1083|9433
3267|8384
8392|8991
3105|5454
1921|5428
6033|8204
1483|9012
1282|9311
6822|8240
303|8653
4884|5268
5247|7904
3708|4568
9566|9892
687|9557
90|9958
5064|6715
1541|4214
2720|4660
1167|2496
4631|9892
1488|8627
1488|8625
1336|4863
3302|5519
4058|8307
5469|5883
6415|9298
2297|7018
701|8420
1144|4418
1299|7941
3065|8829
6822|8302
4|748
3454|9318
1502|7488
2860|9462
5042|8581
7220|8026
3279|7464
516|7416
7990|9672
3123|4036
3488|6510
5241|8469
3712|4301
5250|7719
5663|6200
3690|6123
3273|7966
5071|6190
2092|7690
7399|9591
2502|6433
2724|4391
5669|5716
3511|4619
2909|5433
3515|4286
1477|9595
2125|4962
3508|4862
684|9881
3122|4133
880|9997
6059|6142
4492|5118
3065|8883
2107|6474
7018|8454
6253|6412
4066|7719
3132|3319
771|2679
511|7876
2118|5569
3850|9273
2878|8024
3087|7062
2332|4199
1948|3302
2151|2843
5652|7162
1510|6894
778|2124
1890|8133
2117|5676
3282|7290
6625|8340
3676|7351
1116|6842
6617|9024
3650|9521
4875|6147
3279|7553
4451|8582
1713|6456
3307|5230
2855|9973
3054|9853
3260|9133
7409|8845
1154|3712
3689|6306
787|1408
2730|3979
562|3706
3496|5939
1306|7493
1698|7726
4058|8455
5037|9119
793|920
3299|5927
1138|5059
1746|3747
2710|5657
3906|4694
4675|6400
2661|9725
5850|7178
2293|7502
2140|3823
3500|5629
120|7648
3712|4419
956|3799
793|945
6028|8804
196|1352
7023|8148
7199|9924
7017|8648
7226|7684
6243|7358
4451|8641
3130|3607
5257|7293
941|5072
139|6102
2475|8827
2338|3815
6060|6200
4675|6461
6233|8226
4459|8001
2154|2711
200|1058
2292|7648
3490|6521
687|9796
5454|7356
2310|6160
1894|7923
6632|7884
6442|7294
1749|3587
1684|8982
2873|8605
2866|9179
3880|6938
1766|2182
1735|4755
527|6714
4|973
1088|9311
7803|9014
6443|7204
3084|7490
4641|9330
1328|5777
2079|8980
741|5351
4674|6590
1287|9187
5448|7893
1953|3069
6816|9054
4691|5192
1114|7176
2124|5272
152|5112
3717|4134
3252|9963
1105|7935
3852|9312
2139|4037
1167|2799
6451|6586
3521|4023
1890|8327
3910|4525
1737|4661
957|3863
8793|8850
3521|4053
5067|6805
6214|9914
367|3689
5669|5987
511|8129
1723|5843
794|1032
1133|5664
4474|6886
1097|8660
1722|5937
952|4316
174|3353
7224|8027
567|3508
6619|9090
707|8274
5283|5299
2491|7658
8594|9029
5430|9493
4479|6500
3853|9319
6054|6849
4075|7276
4492|5434
3319|4485
762|3728
8188|9976
7019|8699
4479|6526
4658|8054
6634|7882
1174|2315
2878|8338
6612|9726
383|2436
357|4597
2330|4682
3683|7067
404|703
2502|6791
785|1853
907|8108
2671|9161
367|3783
6043|7818
1514|6884
4834|9855
2315|5947
5434|9217
4463|7888
510|8310
511|8227
3500|5895
3707|5108
8206|8529
5257|7530
3325|4054
7818|7958
2873|8805
572|3175
162|4442
2941|3166
7230|7633
401|990
2088|8427
2479|8742
1498|8248
1292|8962
2537|3939
4049|9515
6451|6750
950|4597
394|1591
3330|3662
5041|9114
2114|6298
7598|9870
2525|4949
6222|9409
1729|5491
5279|5763
2895|7026
4486|6043
2109|6729
1|1467
706|8492
5844|8030
3674|7913
917|7368
1093|9142
4487|5964
2146|3674
395|1551
4877|6385
6449|6984
407|562
1495|8566
3505|5578
2879|8386
1539|4912
6220|9600
3282|7699
691|9764
298|9618
775|2794
915|7571
770|3224
6057|6764
8397|9150
4271|7560
6442|7601
5264|7070
3699|5894
1945|4014
6449|7011
4451|9010
2480|8773
795|1170
5273|6330
796|1090
4868|7176
1506|7698
2305|6920
1538|5043
8594|9218
8588|9716
6043|7958
112|8724
3513|4972
4480|6630
5836|8779
734|6254
942|5372
1484|9541
4891|5293
736|6091
6048|7558
328|7197
4087|6493
5259|7520
388|2223
5829|9365
1159|3765
936|5890
5280|5789
2109|6845
3137|3445
2550|3009
2310|6552
4447|9409
3129|4111
5056|8010
5655|7460
3883|7077
3130|4036
697|9373
1103|8447
7599|9943
4840|9570
8791|9311
1368|2838
2915|5519
329|7163
1766|2582
6238|8246
4872|6921
1561|3215
3653|9802
6037|8535
1580|1644
3690|6743
3677|7824
502|9203
913|7861
1107|8140
3311|5430
1330|6016
969|3216
204|1176
3308|5687
2158|2843
8987|9476
1713|7017
371|3715
191|2270
4451|9138
970|3153
5661|7026
4060|8836
1321|6797
1492|8985
7221|8622
4247|9706
1135|5859
6025|9601
1305|8148
7215|9128
1154|4301
6230|8988
1909|7175
2082|9199
2471|9689
597|1388
1717|6744
1321|6843
2929|4460
185|2832
204|1258
5249|8505
5835|9037
5458|7548
3507|5653
920|7377
4285|6611
1163|3601
907|8469
110|9092
1182|2038
4088|6596
4867|7486
2909|6160
5051|8597
5050|8680
2521|5597
4276|7383
1698|8370
2477|9243
577|3106
557|4771
1557|3692
5448|8421
1909|7242
4283|6810
2537|4271
8202|9209
8204|9041
1519|6858
2128|5464
7813|8753
8987|9611
8406|8671
7023|8796
4482|6702
6033|9041
8394|9689
1878|9853
4452|9197
4113|4580
5242|9177
558|4731
599|1331
4878|6630
1154|4419
2527|5149
5639|9012
3290|7370
8793|9376
1541|5079
6616|9836
2276|9614
345|6048
716|8023
2926|4827
374|3649
3286|7712
7021|9014
2717|5798
3307|5980
2129|5448
3672|8450
5835|9140
6433|8658
9186|9534
7430|7850
2304|7315
4487|6353
5473|6433
3273|8821
2749|3161
3907|5344
8603|8789
929|6769
3106|6300
2681|8807
3905|5518
5074|6810
5859|7177
3101|6728
6052|7544
127|7809
1758|3508
5469|6787
2296|8010
8600|9073
5240|9418
1506|8052
4651|9161
6617|9839
4492|5986
3522|4572
1921|6389
6627|9012
9384|9554
702|9259
180|3438
3500|6409
737|6358
8398|9465
3534|3583
4278|7368
7223|8689
951|4989
6644|7620
2709|6542
5251|8550
1124|7021
2674|9450
1556|3939
715|8204
4896|5243
2555|2939
3897|6252
517|8265
4111|4882
563|4452
920|7589
12|1036
2138|4799
1940|4856
1562|3460
335|7000
2297|7996
6634|8481
5088|5713
3853|9926
1769|2672
1501|8531
6459|6613
2117|6558
7607|9655
2734|4510
1568|2978
4861|8198
5439|9374
747|5598
1688|9413
3918|4551
1140|5753
4067|8568
125|8080
7221|8943
2310|6953
216|532
908|8630
5251|8623
3863|9136
8995|9168
900|9308
1693|9024
3690|7110
1892|8896
982|2506
7803|9795
2926|4997
2499|7664
4456|9075
2898|7316
204|1548
4054|9686
5842|8742
544|6102
599|1541
2675|9461
8605|8805
2944|3521
2319|6249
5038|9943
4054|9708
2497|7864
1323|7004
5447|8773
4121|4143
6059|7144
795|1682
1297|9167
3282|8251
8215|8412
2521|5886
1574|2574
1738|5344
5841|8870
5663|7262
3691|7095
3482|8058
2134|5252
4107|5343
4458|8975
1368|3301
5867|6711
2480|9317
7632|7692
1686|9685
2306|7376
3675|8441
6028|9746
1140|5857
1521|7007
5457|8002
1110|8355
1717|7131
308|9397
3090|7873
4857|8667
927|7178
9|1452
577|3461
6456|7017
5460|7779
8996|9196
3066|9869
3311|5929
3324|4850
910|8605
6444|8043
4120|4323
6044|8467
509|9129
770|3854
8597|9578
1730|6091
2677|9411
8205|9352
390|2629
895|9870
9386|9624
2909|6552
2517|6321
1301|8945
2116|6834
4853|9035
5669|6864
4081|7582
5277|6629
5477|6411
1352|4729
160|5370
589|2531
7042|7597
2704|7209
1156|4627
5468|7176
4671|7788
3482|8173
5283|6158
896|9831
5070|7448
2722|5738
557|5204
2717|6146
191|2817
3537|3635
5635|9729
1566|3384
3698|6654
3314|5758
6463|6533
7805|9836
3132|4485
5473|6791
604|1323
6056|7572
4874|7365
8414|8458
1161|4254
9386|9702
1701|8594
732|7105
6425|9733
5281|6367
199|2194
6262|6878
3507|6154
7811|9371
3073|9421
1141|5931
1374|2981
931|6983
7813|9228
1556|4271
2310|7226
6060|7262
4485|6924
2560|2859
1361|4075
2876|9409
5879|5925
6246|8232
1117|7946
2478|9672
5637|9631
216|818
7215|9723
7221|9244
2879|9179
762|4668
6233|9321
7043|7628
6246|8244
3539|3555
1908|7864
1140|6069
3675|8662
771|3935
2150|4170
1746|4933
185|3425
6238|8921
5838|9354
2739|4435
2693|8263
2482|9392
6660|6689
2365|2719
5082|6580
2908|6810
2539|4669
324|8285
910|8805
1723|6862
6258|7301
1305|8796
5252|8872
4670|8024
216|882
150|6359
8398|9896
1784|1810
2674|9860
508|9420
4685|6800
4851|9406
4858|8822
985|2605
8996|9439
1689|9706
3129|4882
23|533
7217|9633
4495|6192
3494|7357
2094|8870
4844|9991
4092|6870
4890|6185
3910|5606
2747|3831
328|7995
2871|9916
5668|7153
3502|6695
2367|2602
4877|7259
3482|8357
3150|3156
2127|6140
3663|9724
3468|9525
995|1799
548|6132
3689|7568
531|7542
1199|1253
1694|9319
3483|8289
2533|5219
4471|8205
1536|6063
2521|6224
2677|9661
7628|8344
6654|7266
598|2002
1384|2301
5281|6541
2129|6013
3084|8663
1502|8899
1324|7290
1735|5944
412|1070
608|1186
4513|4756
3510|6086
3272|9455
2297|8454
1937|5571
2116|7097
8008|9580
1099|9592
1955|4081
2875|9642
3106|6859
2358|3414
2890|8406
4112|5296
6263|6976
3503|6684
2355|3670
369|4669
508|9522
5676|6558
970|3957
2129|6064
6856|6947
316|9090
2137|5404
7019|9793
4668|8330
111|9729
7811|9596
2730|5347
5668|7265
1544|5486
8024|8338
2695|8280
4266|8961
6241|8866
2512|7084
531|7673
3510|6175
1394|1586
1971|2845
1163|4379
4672|8046
4850|9655
2527|5852
3918|5088
9192|9705
9003|9009
7045|7688
2944|4023
7635|7895
4257|9726
3496|7366
2911|6765
1170|3818
2160|3566
3907|6018
1117|8219
782|3259
549|6214
2105|8140
2691|8650
4095|6804
4903|5291
5101|5241
3526|4891
7620|9141
2909|6953
2944|4053
176|4418
195|2840
3662|9997
1310|8600
4510|5146
2137|5505
551|6071
1148|5669
946|6052
14|1491
917|8468
1764|3708
5650|8856
6453|7733
3119|5939
9196|9439
5447|9317
1745|5294
3334|4480
3905|6241
5064|8346
315|9302
209|1731
707|9549
6063|7376
1352|5167
1148|5716
2734|5146
5048|9703
6037|9529
3072|9877
7021|9795
2123|6722
6431|9615
2487|9282
1766|3589
6058|7809
3478|8957
6244|8747
3503|6888
913|8862
4694|6339
5663|7839
6840|8453
3538|3979
2155|4085
2885|9035
4670|8338
3078|9420
3735|4043
1959|3989
315|9370
205|2116
1296|9872
5078|7257
114|9674
3530|4670
7431|8560
1319|7961
1701|9029
2487|9331
3717|5551
4090|7361
2373|2416
4514|4946
567|4862
2890|8671
8803|9405
2732|5404
5082|6959
2941|4434
7814|9573
4298|6504
1124|7803
3887|7856
3728|4668
1161|4738
2170|2911
2508|7629
2310|7684
1170|4005
7831|8191
24|819
1531|6809
1738|6018
4070|9066
1107|9236
191|3346
1715|7924
1923|7044
4487|7234
4082|8081
8414|8982
2547|4409
3308|6794
1369|3888
5051|9578
1167|4273
974|3918
4464|9167
2926|5748
1780|2557
2102|8605
5847|9058
715|9041
5674|7054
6068|7120
4463|9254
538|7351
3078|9522
1909|8246
1590|1962
2174|2646
3906|6339
5852|8660
2897|8176
4474|8355
3911|5945
8615|8716
1915|7774
2095|9216
2732|5505
5651|8993
5444|9782
2308|7930
4072|8970
813|946
2096|9151
6828|9603
2550|4245
3698|7266
908|9454
1324|7699
9006|9072
1693|9839
1951|4812
4458|9725
942|6649
743|6782
5256|9037
2909|7226
3077|9667
509|9824
4692|6708
3105|7356
798|2226
6060|7839
2700|8204
311|9881
772|4387
1582|2698
355|6237
4120|5035
1299|9807
1717|7878
1131|7370
767|4815
3087|8860
1980|2441
4851|9918
1701|9218
3739|3905
6037|9792
314|9657
803|1841
3290|8418
318|9334
1764|4008
1148|5987
955|5623
5070|8137
335|7931
1156|5321
1498|9704
8407|9694
957|5464
1574|3405
6036|9883
952|5890
6048|8903
3513|6331
4895|6314
528|8324
3274|9785
3870|9464
2149|4857
2703|8021
6639|9013
1940|5821
3900|6981
1202|1549
2117|7525
321|9137
6457|7762
169|5372
7629|8781
5256|9140
621|630
4890|6749
6272|6727
1202|1559
532|8024
1729|6974
3111|6956
2122|7129
6258|7899
3526|5293
390|3436
3892|7677
2730|5822
4695|6578
509|9946
8417|8952
2102|8805
531|8130
2558|3739
1104|9729
3157|3170
1946|5383
3334|4878
1694|9926
6431|9963
