ID,Name1,Name2,Name3,Street1,Street2,City,State,Zipcode,Country
9530,28msec,Inc.,,,,,,,
5613,28msec Inc.,,,,,Zurich,,,Switzerland
581,École Normale Supérieure de Paris,,,,,,,,France
2927,École Polytechnique Fédérale de Lausanne,,,,,Lausanne,,,Switzerland
3133,École Polytechnique Fédérale de Lausanne,,,,,,,,Switzerland
7569,Aalborg Univ.,,,,,,,,
7608,Aalborg Univ.,,,,,Aalborg,,,The Netherlands
946,Aalborg University,,,,,,,,
2336,Aalborg University,,,,,Aalborg,,,Denmark
2367,Aalborg University,,,,,,,,Denmark
8298,Aalborg University,Ost,,Denmark,,,,,Denmark
651,Advanced Data Management Technologies Laboratory,Department of Computer Science,University of Pittsburgh,,,Pittsburgh,PA,,
7572,Agricultural Univ. of Athens,,,,,,,,
8865,Alma Mater Studiorum—Università di Bologna,,,,,Bologna,,,Italy
8445,Almaden,,,,,,,,
5887,Almaden Research Center,,,,,San Jose,CA,,USA
672,Amazon Corp.,,,,,Seattle,,,
8128,Amazon.com,,,,,Seattle,,,
8425,Applications Research Laboratory,Corporate Technology Group,Intel Corporation,,,,,,USA
3893,Aristotle University,Thessaloniki,,,,,,,Greece
2341,Arizona State Univ.,,,,,Tempe,AZ,,
2634,Arizona State University,,,,,,,,
494,Arizona State University,,,,,,Arizona,,
2385,Arizona State University,,,,,Tempe,AZ,,
5629,Arizona State University,,,,,Tempe,AZ,,USA
9469,Arizona State University,,,,,Tempe,,,USA
3068,Aster Data,,,,,,,,
9563,Aster Data Systems,,,,,,,,
5130,ASU,,,,,Tempe,AZ,,
4046,AT & T Labs-Research,,,,,,,,
4168,AT & T Labs-Research,,,,,Florham Park,NJ,,
9264,AT & T Labs-Research,,,,,Florham Park,,7932,USA
3435,AT&T,,,,,,,,
6808,AT&T Laboratories,,,,,,,,
6259,AT&T Laboratories - Research,,,,,Florham Park,NJ,,USA
1635,AT&T Labs,,,,,,,,
7761,AT&T Labs,,,Bldg 103,180 Park Avenue,Florham Park,NJ,7932,
9240,AT&T Labs,,,,,Florham Park,NJ,,
6156,AT&T Labs,,,,,Florham Park,NJ,,USA
6764,AT&T Labs,Research,,,,,,,
1702,AT&T Labs - Research,,,,,,,,
4264,AT&T Labs - Research,,,,,Florham Park,NJ,,
5865,AT&T Labs - Research,,,,,Florham Park,NJ,,USA
7429,AT&T Labs -- Research,,,,,,,,
2240,AT&T Labs Inc.,,,,,,,,
6367,AT&T Labs Inc. - Research,,,,,Florham Park,NJ,,USA
454,AT&T Labs Research,,,,,,,,
7730,AT&T Labs Research,,,Room E243,180 Park Avenue,Florham Park,NJ,7932,USA
7699,AT&T Labs Research,,,,,Florham Park,N.J.,,USA
1072,AT&T Labs Research,,,,,Florham Park,NJ,,
5996,AT&T Labs Research,,,,,Florham Park,NJ,,USA
7733,AT&T Labs Research,,,,,,,,
9400,AT&T Labs&mdash;&#8212;Research,,,,,Florham Park,NJ,,
7624,AT&T Labs?Research,,,,,,,,
103,AT&T Labs-Research,,,,,,,,
7737,AT&T Labs-Research,,,Room E 233,180 Park Ave.,Florham Park,NJ,07932-0971,USA
7710,AT&T Labs-Research,,,Bldg. 103,180 Park Avenue,Florham Park,NJ,7932,USA
8948,AT&T Labs-Research,,,,,Florham Park,NJ,,
2964,AT&T Labs-Research,,,,,Florham Park,NJ,,
5773,AT&T Labs-Research,,,,,,NJ,,USA
1456,AT&T Labs-Research,,,,,,NJ,,
8577,AT&T Labs-Research,,,,,,,,USA
3142,AT&T Labs--Research,,,,,,,,
3117,AT&T Labs--Research,,,,,Florham Park,NJ,,
8034,AT&T Labs--Research,,,,,,NJ,,
8024,AT&T Labs--Research,,,,,,,,USA
7080,AT&T Labs---Research,,,,,,,,
7659,AT&T Labs---Research,,,,,Florham Park,NJ,,
7112,AT&T Research,,,,,,,,
7105,AT&T Research Laboratory,,,,,Florham Park,NJ,,
3074,Athens Univ. of Economics and Business,,,,,,,,
7952,Athens University of Economics and Business,,,76 Patision Street,,Athens,,,Greece
5179,Athens University of Economics and Business,,,,,Athens,,,Greece
2494,Athens University of Economics and Business,,,,,,,,Greece
5204,ATT Labs - Research,,,,,Florham Park,NJ,,
1854,Basic Research Unit,Helsinki Institute for Information Technology,Department of Computer Science,University of Helsinki,,,,,Finland
1140,Bayerisches Forschungszentrum für Wissensbasierte Systeme,Orleansstrá,,,,München,,,Germany
3653,BEA Systems,,,,,,,,
2587,BEA Systems,Inc,,,,San Jose,,,
2465,BEA Systems,Inc.,,,,,,,
1224,BEA Systems,Inc.,,,,,,,
4616,BEA Systems,Inc.,,,,Burlington,MA,,
5337,BEA Systems,Inc.,,,,San Francisco,CA,,
799,BEA Systems,Inc.,,,,San Jose,CA,,
804,BEA Systems,Inc.,,,,San Jose,CA,,
4627,BEA Systems,,,,,Liberty Corner,NJ,,
