Method,chi2,rand,adj_rand,fowlkes_mallow,mirkin,jaccard,tpr,fpr,F_measure,meila_heckerman,max_match,van_dongen,mutual_info.MI,mutual_info.G,mutual_info.FJ,mutual_info.VI
kmeans,43343.59586,0.98112,0.00363,0.0129,8012,0.0062,0.01746,0.01233,0.30186,0.2592,0.22393,837,4.9971,0.70139,0.70041,4.27494
MST_or_SN_Edit,0,0.00675,0,0.08214,421588,0.00675,1,1,0.05373,0.02761,0.02761,634,0,NA,0,7.51189
louvain,2975.60887,0.89937,-0.00058,0.02418,42712,0.00605,0.09078,0.09514,0.09389,0.05675,0.05215,925,1.95132,0.3827,0.35566,7.07023
hclust,33397.07735,0.981,0.00594,0.01537,8064,0.00739,0.02095,0.01248,0.2647,0.20859,0.19018,865,4.69848,0.67515,0.67318,4.56204
pam,36736.44429,0.98354,0.00556,0.01381,6986,0.00682,0.01676,0.00989,0.2834,0.22393,0.19939,861,4.90014,0.69251,0.69127,4.37687
gc,142667.1882,0.9925,0.00359,0.00816,3184,0.00251,0.00279,0.00078,0.49719,0.79448,0.41104,502,7.06773,0.86477,0.8617,2.26872
Comm_Walktrap,3580.16441,0.79555,0.00014,0.03716,86780,0.00664,0.20251,0.20042,0.09993,0.05982,0.05828,868,1.69289,0.36068,0.32417,7.05875
Comm_Infomap,0,0.00675,0,0.08214,421588,0.00675,1,1,0.05373,0.02761,0.02761,634,0,NA,0,7.51189
Comm_FastGreedy,1015.09456,0.70772,8e-05,0.04446,124060,0.00668,0.2912,0.28945,0.06972,0.03988,0.03988,849,0.90838,0.24104,0.19322,7.58572
Comm_LabelProp,0,0.00675,0,0.08214,421588,0.00675,1,1,0.05373,0.02761,0.02761,634,0,NA,0,7.51189
